County,Populations
Acadia Parish,62204
Allen Parish,25537
Ascension Parish,114393
Assumption Parish,23187
Avoyelles Parish,41299
Beauregard Parish,36167
Bienville Parish,13981
Bossier Parish,123823
Caddo Parish,254887
Calcasieu Parish,195296
Caldwell Parish,9989
Cameron Parish,6744
Catahoula Parish,10238
Claiborne Parish,16650
Concordia Parish,20442
De Soto Parish,27083
East Baton Rouge Parish,445227
East Carroll Parish,7529
East Feliciana Parish,19728
Evangeline Parish,33578
Franklin Parish,20571
Grant Parish,22030
Iberia Parish,73878
Iberville Parish,33367
Jackson Parish,16112
Jefferson Parish,434767
Jefferson Davis Parish,31301
Lafayette Parish,230845
Lafourche Parish,97141
LaSalle Parish,14777
Lincoln Parish,47414
Livingston Parish,134053
Madison Parish,11927
Morehouse Parish,27057
Natchitoches Parish,39138
Orleans Parish[q],378715
Ouachita Parish,156220
Plaquemines Parish,23550
Pointe Coupee Parish,22499
Rapides Parish,132723
Red River Parish,8894
Richland Parish,20857
Sabine Parish,24235
St. Bernard Parish,43482
St. Charles Parish,52617
St. Helena Parish,10875
St. James Parish,21752
St. John the Baptist Parish,43761
St. Landry Parish,83454
St. Martin Parish,52936
St. Mary Parish,53543
St. Tammany Parish,242333
Tangipahoa Parish,125412
Tensas Parish,4908
Terrebonne Parish,112749
Union Parish,22344
Vermilion Parish,59253
Vernon Parish,52606
Washington Parish,46419
Webster Parish,40678
West Baton Rouge Parish,24573
West Carroll Parish,11465
West Feliciana Parish,15444
Winn Parish,14813
Androscoggin County,107604
Aroostook County,70055
Cumberland County,285456
Franklin County,30495
Hancock County,54845
Kennebec County,121164
Knox County,39550
Lincoln County,34088
Oxford County,57277
Penobscot County,153364
Piscataquis County,17124
Sagadahoc County,35013
Somerset County,51706
Waldo County,38940
Washington County,32190
York County,199431
Allegany County,73521
Anne Arundel County,555743
Baltimore County,823015
Calvert County,90484
Caroline County,32693
Carroll County,167564
Cecil County,101913
Charles County,152864
Dorchester County,32660
Frederick County,241409
Garrett County,29889
Harford County,249215
Howard County,304580
Kent County,19944
Montgomery County,1016677
Prince George's County,890081
Queen Anne's County,48517
St. Mary's County,109633
Somerset County,26273
Talbot County,37931
Washington County,149588
Wicomico County,100896
Worcester County,51620
Baltimore City[r],622104
Barnstable County,214990
Berkshire County[n],129585
Bristol County,552780
Dukes County,17256
Essex County[n],762550
Franklin County[n],71221
Hampden County[n],467319
Hampshire County[n],159596
Middlesex County[n],1552802
"Nantucket, Town and County of[s]",10399
Norfolk County,687802
Plymouth County,501915
Suffolk County[n],755503
Worcester County[n],809106
Alcona County,10578
Alger County,9522
Allegan County,112531
Alpena County,29091
Antrim County,23370
Arenac County,15487
Baraga County,8695
Barry County,59097
Bay County,106832
Benzie County,17428
Berrien County,155252
Branch County,43649
Calhoun County,135012
Cass County,51910
Charlevoix County,26129
Cheboygan County,25726
Chippewa County,38696
Clare County,30569
Clinton County,76739
Crawford County,13904
Delta County,36905
Dickinson County,26098
Eaton County,108348
Emmet County,33140
Genesee County,415376
Gladwin County,25493
Gogebic County,15916
Grand Traverse County,89987
Gratiot County,41968
Hillsdale County,46101
Houghton County,36225
Huron County,32224
Ingham County,282234
Ionia County,64073
Iosco County,25429
Iron County,11516
Isabella County,70436
Jackson County,160369
Kalamazoo County,256725
Kalkaska County,17196
Kent County,621700
Keweenaw County,2191
Lake County,11386
Lapeer County,88389
Leelanau County,21747
Lenawee County,99188
Livingston County,184443
Luce County,6502
Mackinac County,11061
Macomb County,854769
Manistee County,24450
Marquette County,67700
Mason County,28605
Mecosta County,43108
Menominee County,23791
Midland County,83919
Missaukee County,15051
Monroe County,150376
Montcalm County,63105
Montmorency County,9350
Muskegon County,171008
Newaygo County,48001
Oakland County,1231640
Oceana County,26245
Ogemaw County,21234
Ontonagon County,6322
Osceola County,23259
Oscoda County,8379
Otsego County,24129
Ottawa County,272701
Presque Isle County,13062
Roscommon County,24014
Saginaw County,196542
St. Clair County,160469
St. Joseph County,60964
Sanilac County,41823
Schoolcraft County,8247
Shiawassee County,68900
Tuscola County,54263
Van Buren County,75455
Washtenaw County,354240
Wayne County,1775273
Wexford County,32645
Aitkin County,15742
Anoka County,339534
Becker County,33231
Beltrami County,45670
Benton County,39214
Big Stone County,5122
Blue Earth County,65528
Brown County,25332
Carlton County,35460
Carver County,95562
Cass County,28555
Chippewa County,12093
Chisago County,53761
Clay County,60661
Clearwater County,8838
Cook County,5200
Cottonwood County,11616
Crow Wing County,63208
Dakota County,408509
Dodge County,20349
Douglas County,36545
Faribault County,14191
Fillmore County,20835
Freeborn County,30948
Goodhue County,46464
Grant County,5989
Hennepin County,1198778
